,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type
1258,Low Fat,0.010068952,Snack Foods,249.4408,OUT017,2007,Tier 2,Supermarket Type1
1259,Low Fat,0.093573569,Health and Hygiene,182.4608,OUT019,1985,Tier 1,Grocery Store
1260,Low Fat,0.035256945,Snack Foods,181.7318,OUT045,2002,Tier 2,Supermarket Type1
1261,Low Fat,0.048116258,Health and Hygiene,164.9526,OUT046,1997,Tier 1,Supermarket Type1
1262,Low Fat,0.021950037,Frozen Foods,190.7162,OUT018,2009,Tier 3,Supermarket Type2
1263,Low Fat,0.043053682,Fruits and Vegetables,87.6172,OUT045,2002,Tier 2,Supermarket Type1
1264,Low Fat,0.041564073,Fruits and Vegetables,38.4164,OUT018,2009,Tier 3,Supermarket Type2
1265,Low Fat,0.087947879,Fruits and Vegetables,109.9228,OUT017,2007,Tier 2,Supermarket Type1
1266,Low Fat,0.113780055,Health and Hygiene,234.93,OUT049,1999,Tier 1,Supermarket Type1
1267,Regular,0.171246685,Canned,116.5834,OUT017,2007,Tier 2,Supermarket Type1
1268,Regular,0.038852056,Baking Goods,209.5296,OUT027,1985,Tier 3,Supermarket Type3
1269,Low Fat,0.072139167,Hard Drinks,36.7506,OUT018,2009,Tier 3,Supermarket Type2
1270,Regular,0.249342884,Starchy Foods,168.5448,OUT019,1985,Tier 1,Grocery Store
1271,Low Fat,0.052031075,Health and Hygiene,106.228,OUT035,2004,Tier 2,Supermarket Type1
1272,Regular,0.037921193,Snack Foods,87.3856,OUT013,1987,Tier 3,Supermarket Type1
1273,Low Fat,0.047404371,Household,109.3912,OUT010,1998,Tier 3,Grocery Store
1274,Regular,0.0,Frozen Foods,179.666,OUT046,1997,Tier 1,Supermarket Type1
1275,Low Fat,0.058650124,Household,247.846,OUT027,1985,Tier 3,Supermarket Type3
1276,Low Fat,0.093377128,Fruits and Vegetables,174.6712,OUT013,1987,Tier 3,Supermarket Type1
1277,Regular,0.115581112,Snack Foods,177.5028,OUT013,1987,Tier 3,Supermarket Type1
1278,Regular,0.0,Canned,102.299,OUT013,1987,Tier 3,Supermarket Type1
1279,Low Fat,0.112097216,Snack Foods,59.022,OUT046,1997,Tier 1,Supermarket Type1
1280,Regular,0.085204025,Meat,118.9124,OUT013,1987,Tier 3,Supermarket Type1
1281,Low Fat,0.030012644,Baking Goods,116.1176,OUT027,1985,Tier 3,Supermarket Type3
1282,Regular,0.0470198,Meat,182.7608,OUT035,2004,Tier 2,Supermarket Type1
1283,Regular,0.04492594,Baking Goods,221.9456,OUT010,1998,Tier 3,Grocery Store
1284,Regular,0.048449768,Starchy Foods,185.5898,OUT027,1985,Tier 3,Supermarket Type3
1285,Low Fat,0.069907412,Hard Drinks,36.9532,OUT027,1985,Tier 3,Supermarket Type3
1286,Regular,0.184132888,Canned,214.0902,OUT035,2004,Tier 2,Supermarket Type1
1287,Low Fat,0.040123315,Fruits and Vegetables,54.6272,OUT010,1998,Tier 3,Grocery Store
1288,Low Fat,0.046575743,Hard Drinks,62.1878,OUT035,2004,Tier 2,Supermarket Type1
1289,Low Fat,0.023452939,Fruits and Vegetables,93.6778,OUT046,1997,Tier 1,Supermarket Type1
1290,Regular,0.024896589,Baking Goods,173.2422,OUT046,1997,Tier 1,Supermarket Type1
1291,Low Fat,0.031416038,Household,112.5228,OUT035,2004,Tier 2,Supermarket Type1
1292,Low Fat,0.06912372,Snack Foods,109.2228,OUT046,1997,Tier 1,Supermarket Type1
1293,Low Fat,0.177820954,Dairy,155.7288,OUT013,1987,Tier 3,Supermarket Type1
1294,Low Fat,0.061900923,Fruits and Vegetables,37.8506,OUT019,1985,Tier 1,Grocery Store
1295,Low Fat,0.0,Dairy,88.8172,OUT049,1999,Tier 1,Supermarket Type1
1296,Low Fat,0.021255857,Baking Goods,119.1124,OUT013,1987,Tier 3,Supermarket Type1
1297,Low Fat,0.071948252,Fruits and Vegetables,48.8034,OUT027,1985,Tier 3,Supermarket Type3
1298,Regular,0.007175526,Snack Foods,40.848,OUT018,2009,Tier 3,Supermarket Type2
1299,Regular,0.06239666,Frozen Foods,101.999,OUT027,1985,Tier 3,Supermarket Type3
1300,Low Fat,0.058112049,Snack Foods,45.5744,OUT027,1985,Tier 3,Supermarket Type3
1301,Low Fat,0.02970149,Canned,179.3686,OUT010,1998,Tier 3,Grocery Store
1302,Regular,0.027498277,Snack Foods,260.2304,OUT017,2007,Tier 2,Supermarket Type1
1303,Low Fat,0.071180921,Soft Drinks,114.186,OUT017,2007,Tier 2,Supermarket Type1
1304,Low Fat,0.077679213,Fruits and Vegetables,97.2094,OUT013,1987,Tier 3,Supermarket Type1
1305,Regular,0.073685833,Baking Goods,183.895,OUT010,1998,Tier 3,Grocery Store
1306,Low Fat,0.160632642,Household,57.8562,OUT035,2004,Tier 2,Supermarket Type1
1307,Regular,0.018914599,Fruits and Vegetables,59.6536,OUT013,1987,Tier 3,Supermarket Type1
1308,Regular,0.01596229,Snack Foods,230.8352,OUT035,2004,Tier 2,Supermarket Type1
1309,Low Fat,0.089322461,Snack Foods,112.2518,OUT046,1997,Tier 1,Supermarket Type1
1310,Regular,0.134595967,Canned,38.448,OUT045,2002,Tier 2,Supermarket Type1
1311,Regular,0.0,Baking Goods,243.0196,OUT049,1999,Tier 1,Supermarket Type1
1312,Low Fat,0.03879778,Household,166.3842,OUT049,1999,Tier 1,Supermarket Type1
1313,Regular,0.0,Frozen Foods,213.7218,OUT019,1985,Tier 1,Grocery Store
1314,Regular,0.041772386,Baking Goods,165.0868,OUT046,1997,Tier 1,Supermarket Type1
1315,Regular,0.065886059,Baking Goods,184.924,OUT049,1999,Tier 1,Supermarket Type1
1316,Regular,0.027666863,Canned,87.9856,OUT045,2002,Tier 2,Supermarket Type1
1317,Low Fat,0.079416624,Health and Hygiene,36.2506,OUT035,2004,Tier 2,Supermarket Type1
1318,Low Fat,0.044504129,Fruits and Vegetables,183.5266,OUT045,2002,Tier 2,Supermarket Type1
1319,Regular,0.085915295,Snack Foods,170.779,OUT035,2004,Tier 2,Supermarket Type1
1320,Low Fat,0.060888099,Dairy,171.9106,OUT017,2007,Tier 2,Supermarket Type1
1321,Regular,0.07707176,Snack Foods,112.8518,OUT018,2009,Tier 3,Supermarket Type2
1322,Low Fat,0.043306047,Baking Goods,95.3436,OUT049,1999,Tier 1,Supermarket Type1
1323,Low Fat,0.034081551,Snack Foods,211.7902,OUT017,2007,Tier 2,Supermarket Type1
1324,Regular,0.05215787,Frozen Foods,114.4176,OUT027,1985,Tier 3,Supermarket Type3
1325,Regular,0.0,Fruits and Vegetables,172.808,OUT017,2007,Tier 2,Supermarket Type1
1326,Low Fat,0.110532975,Dairy,44.2428,OUT017,2007,Tier 2,Supermarket Type1
1327,Regular,0.119176431,Dairy,233.93,OUT046,1997,Tier 1,Supermarket Type1
1328,Low Fat,0.027038245,Canned,151.834,OUT027,1985,Tier 3,Supermarket Type3
1329,Low Fat,0.108714206,Baking Goods,93.2804,OUT010,1998,Tier 3,Grocery Store
1330,Low Fat,0.03538128,Baking Goods,230.701,OUT013,1987,Tier 3,Supermarket Type1
1331,Low Fat,0.027124299,Household,172.9396,OUT045,2002,Tier 2,Supermarket Type1
1332,Regular,0.095344543,Frozen Foods,152.3366,OUT019,1985,Tier 1,Grocery Store
1333,Low Fat,0.08318261,Frozen Foods,248.8776,OUT035,2004,Tier 2,Supermarket Type1
1334,Low Fat,0.049405001,Snack Foods,192.8478,OUT045,2002,Tier 2,Supermarket Type1
1335,Low Fat,0.006803416,Household,40.8112,OUT017,2007,Tier 2,Supermarket Type1
1336,Low Fat,0.026073405,Fruits and Vegetables,121.4414,OUT018,2009,Tier 3,Supermarket Type2
1337,Regular,0.103939618,Fruits and Vegetables,173.6054,OUT049,1999,Tier 1,Supermarket Type1
1338,Low Fat,0.078231229,Baking Goods,181.466,OUT018,2009,Tier 3,Supermarket Type2
1339,Low Fat,0.087966875,Frozen Foods,91.583,OUT010,1998,Tier 3,Grocery Store
1340,Regular,0.124214471,Snack Foods,35.5874,OUT018,2009,Tier 3,Supermarket Type2
1341,Regular,0.019880322,Canned,88.0198,OUT017,2007,Tier 2,Supermarket Type1
1342,Regular,0.041829904,Fruits and Vegetables,217.8508,OUT010,1998,Tier 3,Grocery Store
1343,Low Fat,0.065538317,Soft Drinks,141.8128,OUT049,1999,Tier 1,Supermarket Type1
1344,Low Fat,0.046729336,Meat,152.5682,OUT045,2002,Tier 2,Supermarket Type1
1345,Low Fat,0.0,Fruits and Vegetables,186.0266,OUT019,1985,Tier 1,Grocery Store
1346,Low Fat,0.058150483,Hard Drinks,74.138,OUT027,1985,Tier 3,Supermarket Type3
1347,Low Fat,0.025517058,Health and Hygiene,147.476,OUT049,1999,Tier 1,Supermarket Type1
1348,Regular,0.0,Breakfast,183.7292,OUT019,1985,Tier 1,Grocery Store
1349,Low Fat,0.050167414,Dairy,156.9288,OUT018,2009,Tier 3,Supermarket Type2
1350,Low Fat,0.102015088,Dairy,227.2352,OUT027,1985,Tier 3,Supermarket Type3
1351,Low Fat,0.110651177,Fruits and Vegetables,192.7846,OUT035,2004,Tier 2,Supermarket Type1
1352,Low Fat,0.094352624,Household,253.8698,OUT045,2002,Tier 2,Supermarket Type1
1353,Regular,0.029027743,Fruits and Vegetables,81.396,OUT049,1999,Tier 1,Supermarket Type1
1354,Regular,0.020494302,Meat,101.2042,OUT018,2009,Tier 3,Supermarket Type2
1355,Regular,0.021125435,Snack Foods,159.7578,OUT017,2007,Tier 2,Supermarket Type1
1356,Low Fat,0.009830622,Health and Hygiene,48.9034,OUT027,1985,Tier 3,Supermarket Type3
1357,Low Fat,0.0,Canned,197.7768,OUT046,1997,Tier 1,Supermarket Type1
1358,Low Fat,0.058559885,Household,222.6456,OUT049,1999,Tier 1,Supermarket Type1
1359,Low Fat,0.117169698,Health and Hygiene,156.163,OUT045,2002,Tier 2,Supermarket Type1
1360,Low Fat,0.005256469,Dairy,264.0884,OUT018,2009,Tier 3,Supermarket Type2
1361,Low Fat,0.025860761,Health and Hygiene,157.1604,OUT010,1998,Tier 3,Grocery Store
1362,Low Fat,0.054949947,Health and Hygiene,54.993,OUT017,2007,Tier 2,Supermarket Type1
1363,Low Fat,0.054457963,Fruits and Vegetables,158.8578,OUT019,1985,Tier 1,Grocery Store
1364,Regular,0.098790484,Frozen Foods,85.8856,OUT027,1985,Tier 3,Supermarket Type3
1365,Regular,0.032289868,Canned,157.6972,OUT018,2009,Tier 3,Supermarket Type2
1366,Low Fat,0.071429389,Snack Foods,207.4612,OUT046,1997,Tier 1,Supermarket Type1
1367,Regular,0.036876003,Meat,228.3352,OUT035,2004,Tier 2,Supermarket Type1
1368,Low Fat,0.201643565,Soft Drinks,197.7084,OUT019,1985,Tier 1,Grocery Store
1369,Low Fat,0.079978878,Canned,248.3092,OUT010,1998,Tier 3,Grocery Store
1370,Low Fat,0.066783292,Frozen Foods,183.0292,OUT046,1997,Tier 1,Supermarket Type1
1371,Regular,0.029347924,Breads,188.4556,OUT013,1987,Tier 3,Supermarket Type1
1372,Low Fat,0.0,Fruits and Vegetables,160.1578,OUT013,1987,Tier 3,Supermarket Type1
1373,Regular,0.0,Frozen Foods,155.6656,OUT018,2009,Tier 3,Supermarket Type2
1374,Low Fat,0.018447852,Frozen Foods,252.6698,OUT045,2002,Tier 2,Supermarket Type1
1375,Low Fat,0.103725396,Health and Hygiene,261.7278,OUT027,1985,Tier 3,Supermarket Type3
1376,Low Fat,0.073307104,Others,65.2142,OUT013,1987,Tier 3,Supermarket Type1
1377,Regular,0.168661356,Fruits and Vegetables,195.8768,OUT010,1998,Tier 3,Grocery Store
1378,Low Fat,0.051018257,Household,125.2678,OUT049,1999,Tier 1,Supermarket Type1
1379,Regular,0.085258864,Meat,116.8124,OUT035,2004,Tier 2,Supermarket Type1
1380,Low Fat,0.057489563,Dairy,84.7566,OUT013,1987,Tier 3,Supermarket Type1
1381,Low Fat,0.034446714,Fruits and Vegetables,253.3356,OUT018,2009,Tier 3,Supermarket Type2
1382,Low Fat,0.071198613,Frozen Foods,120.6098,OUT013,1987,Tier 3,Supermarket Type1
1383,Low Fat,0.047857249,Canned,249.2092,OUT049,1999,Tier 1,Supermarket Type1
1384,Low Fat,0.135116764,Snack Foods,220.4482,OUT035,2004,Tier 2,Supermarket Type1
1385,Low Fat,0.047357161,Others,51.9666,OUT019,1985,Tier 1,Grocery Store
1386,Regular,0.054056872,Baking Goods,123.2072,OUT018,2009,Tier 3,Supermarket Type2
1387,Regular,0.083854075,Canned,198.7426,OUT018,2009,Tier 3,Supermarket Type2
1388,Low Fat,0.009728926,Others,213.656,OUT027,1985,Tier 3,Supermarket Type3
1389,Low Fat,0.066756194,Fruits and Vegetables,187.324,OUT045,2002,Tier 2,Supermarket Type1
1390,Regular,0.104001913,Baking Goods,168.45,OUT035,2004,Tier 2,Supermarket Type1
1391,Low Fat,0.164018678,Health and Hygiene,44.9086,OUT017,2007,Tier 2,Supermarket Type1
1392,Regular,0.060415636,Frozen Foods,153.1656,OUT035,2004,Tier 2,Supermarket Type1
1393,Low Fat,0.128931187,Breads,154.6314,OUT017,2007,Tier 2,Supermarket Type1
1394,Regular,0.161413005,Baking Goods,35.2848,OUT013,1987,Tier 3,Supermarket Type1
1395,Low Fat,0.01594096,Snack Foods,163.121,OUT018,2009,Tier 3,Supermarket Type2
1396,Low Fat,0.0,Dairy,265.0884,OUT045,2002,Tier 2,Supermarket Type1
1397,Low Fat,0.106697143,Fruits and Vegetables,175.637,OUT035,2004,Tier 2,Supermarket Type1
1398,Low Fat,0.022562708,Frozen Foods,95.9068,OUT035,2004,Tier 2,Supermarket Type1
1399,Low Fat,0.174319632,Dairy,55.5298,OUT049,1999,Tier 1,Supermarket Type1
1400,Regular,0.075295456,Soft Drinks,174.4054,OUT010,1998,Tier 3,Grocery Store
1401,Low Fat,0.063266852,Dairy,120.6782,OUT019,1985,Tier 1,Grocery Store
1402,Low Fat,0.052525654,Snack Foods,104.399,OUT049,1999,Tier 1,Supermarket Type1
1403,Low Fat,0.036285125,Fruits and Vegetables,141.2154,OUT046,1997,Tier 1,Supermarket Type1
1404,Low Fat,0.12471467,Household,111.4544,OUT046,1997,Tier 1,Supermarket Type1
1405,Low Fat,0.021694101,Health and Hygiene,150.0708,OUT018,2009,Tier 3,Supermarket Type2
1406,Low Fat,0.046366458,Breads,119.9414,OUT035,2004,Tier 2,Supermarket Type1
1407,Low Fat,0.012605492,Snack Foods,137.818,OUT035,2004,Tier 2,Supermarket Type1
1408,Low Fat,0.112498699,Health and Hygiene,62.8168,OUT045,2002,Tier 2,Supermarket Type1
1409,Low Fat,0.021691386,Fruits and Vegetables,110.5228,OUT018,2009,Tier 3,Supermarket Type2
1410,Low Fat,0.074046742,Household,229.801,OUT027,1985,Tier 3,Supermarket Type3
1411,Regular,0.242768664,Fruits and Vegetables,173.708,OUT010,1998,Tier 3,Grocery Store
1412,Low Fat,0.033401862,Dairy,152.234,OUT017,2007,Tier 2,Supermarket Type1
1413,Low Fat,0.042206477,Dairy,170.2764,OUT013,1987,Tier 3,Supermarket Type1
1414,Low Fat,0.048019877,Household,104.2622,OUT013,1987,Tier 3,Supermarket Type1
1415,Low Fat,0.167016095,Soft Drinks,241.5512,OUT013,1987,Tier 3,Supermarket Type1
1416,Low Fat,0.077664737,Household,195.511,OUT045,2002,Tier 2,Supermarket Type1
1417,Regular,0.075155997,Dairy,114.1176,OUT035,2004,Tier 2,Supermarket Type1
1418,Low Fat,0.039816816,Frozen Foods,34.1558,OUT035,2004,Tier 2,Supermarket Type1
1419,Low Fat,0.070964186,Snack Foods,175.637,OUT018,2009,Tier 3,Supermarket Type2
1420,Regular,0.022040367,Meat,194.1452,OUT013,1987,Tier 3,Supermarket Type1
1421,Low Fat,0.027770577,Health and Hygiene,63.1168,OUT045,2002,Tier 2,Supermarket Type1
1422,Regular,0.025735975,Snack Foods,187.7872,OUT035,2004,Tier 2,Supermarket Type1
1423,Low Fat,0.112150406,Frozen Foods,105.2622,OUT045,2002,Tier 2,Supermarket Type1
1424,Low Fat,0.105748691,Breads,123.1046,OUT013,1987,Tier 3,Supermarket Type1
1425,Regular,0.025370468,Baking Goods,81.1934,OUT046,1997,Tier 1,Supermarket Type1
1426,Regular,0.063508168,Fruits and Vegetables,113.8492,OUT027,1985,Tier 3,Supermarket Type3
1427,Low Fat,0.038513862,Dairy,61.5852,OUT049,1999,Tier 1,Supermarket Type1
1428,Regular,0.070362085,Snack Foods,95.112,OUT027,1985,Tier 3,Supermarket Type3
1429,Regular,0.028100349,Fruits and Vegetables,46.9744,OUT013,1987,Tier 3,Supermarket Type1
1430,Regular,0.009661057,Dairy,122.973,OUT018,2009,Tier 3,Supermarket Type2
1431,Low Fat,0.044708228,Dairy,86.2198,OUT027,1985,Tier 3,Supermarket Type3
1432,Regular,0.099297902,Dairy,60.5194,OUT049,1999,Tier 1,Supermarket Type1
1433,Low Fat,0.071122419,Health and Hygiene,43.7086,OUT035,2004,Tier 2,Supermarket Type1
1434,Low Fat,0.0,Fruits and Vegetables,185.3266,OUT035,2004,Tier 2,Supermarket Type1
1435,Regular,0.051920175,Fruits and Vegetables,140.9838,OUT019,1985,Tier 1,Grocery Store
1436,Low Fat,0.057148803,Dairy,224.3404,OUT049,1999,Tier 1,Supermarket Type1
1437,Regular,0.009820129,Meat,152.7366,OUT027,1985,Tier 3,Supermarket Type3
1438,Regular,0.044148717,Starchy Foods,56.9904,OUT017,2007,Tier 2,Supermarket Type1
1439,Low Fat,0.018148732,Household,210.1954,OUT019,1985,Tier 1,Grocery Store
1440,Low Fat,0.015304311,Hard Drinks,105.7938,OUT046,1997,Tier 1,Supermarket Type1
1441,Low Fat,0.141816013,Snack Foods,122.2072,OUT046,1997,Tier 1,Supermarket Type1
1442,Low Fat,0.04320284,Baking Goods,95.6436,OUT013,1987,Tier 3,Supermarket Type1
1443,Low Fat,0.075727897,Household,154.7656,OUT046,1997,Tier 1,Supermarket Type1
1444,Low Fat,0.020947887,Health and Hygiene,257.5672,OUT035,2004,Tier 2,Supermarket Type1
1445,Low Fat,0.012480591,Household,186.2556,OUT010,1998,Tier 3,Grocery Store
1446,Low Fat,0.06127993,Household,129.6968,OUT049,1999,Tier 1,Supermarket Type1
1447,Regular,0.062399603,Fruits and Vegetables,224.7062,OUT035,2004,Tier 2,Supermarket Type1
1448,Regular,0.104063695,Canned,104.5622,OUT035,2004,Tier 2,Supermarket Type1
1449,Low Fat,0.047708667,Household,178.366,OUT035,2004,Tier 2,Supermarket Type1
1450,Low Fat,0.061912597,Dairy,150.105,OUT045,2002,Tier 2,Supermarket Type1
1451,Low Fat,0.035611045,Baking Goods,228.301,OUT017,2007,Tier 2,Supermarket Type1
1452,Regular,0.091172403,Baking Goods,48.6008,OUT046,1997,Tier 1,Supermarket Type1
1453,Low Fat,0.009963834,Snack Foods,250.8408,OUT027,1985,Tier 3,Supermarket Type3
1454,Low Fat,0.032694281,Frozen Foods,147.8392,OUT045,2002,Tier 2,Supermarket Type1
1455,Low Fat,0.0,Household,117.515,OUT019,1985,Tier 1,Grocery Store
1456,Low Fat,0.025302804,Snack Foods,176.8054,OUT018,2009,Tier 3,Supermarket Type2
1457,Low Fat,0.011027014,Household,260.6962,OUT049,1999,Tier 1,Supermarket Type1
1458,Low Fat,0.0,Household,36.2848,OUT027,1985,Tier 3,Supermarket Type3
1459,Low Fat,0.052280828,Snack Foods,117.3124,OUT018,2009,Tier 3,Supermarket Type2
1460,Low Fat,0.083729547,Meat,184.4292,OUT013,1987,Tier 3,Supermarket Type1
1461,Regular,0.094064368,Frozen Foods,187.0214,OUT049,1999,Tier 1,Supermarket Type1
1462,Low Fat,0.017527666,Fruits and Vegetables,228.001,OUT017,2007,Tier 2,Supermarket Type1
1463,Regular,0.007055259,Starchy Foods,175.4738,OUT045,2002,Tier 2,Supermarket Type1
1464,Regular,0.041445492,Snack Foods,35.219,OUT049,1999,Tier 1,Supermarket Type1
1465,Regular,0.172726426,Snack Foods,156.7972,OUT035,2004,Tier 2,Supermarket Type1
1466,Low Fat,0.084284513,Meat,254.933,OUT018,2009,Tier 3,Supermarket Type2
1467,Low Fat,0.06448577,Snack Foods,239.4564,OUT010,1998,Tier 3,Grocery Store
1468,Regular,0.035499428,Snack Foods,115.7518,OUT035,2004,Tier 2,Supermarket Type1
1469,Low Fat,0.084343183,Frozen Foods,39.7796,OUT027,1985,Tier 3,Supermarket Type3
1470,Regular,0.023068402,Snack Foods,209.7928,OUT018,2009,Tier 3,Supermarket Type2
1471,Low Fat,0.021450443,Fruits and Vegetables,103.6306,OUT017,2007,Tier 2,Supermarket Type1
1472,Low Fat,0.070227182,Household,217.1192,OUT027,1985,Tier 3,Supermarket Type3
1473,Low Fat,0.159334462,Soft Drinks,224.372,OUT046,1997,Tier 1,Supermarket Type1
1474,Low Fat,0.032468955,Frozen Foods,236.1906,OUT027,1985,Tier 3,Supermarket Type3
1475,Low Fat,0.051227193,Household,127.2678,OUT017,2007,Tier 2,Supermarket Type1
1476,Low Fat,0.034643462,Household,127.402,OUT013,1987,Tier 3,Supermarket Type1
1477,Low Fat,0.038956669,Household,165.1842,OUT017,2007,Tier 2,Supermarket Type1
1478,Low Fat,0.114317778,Baking Goods,221.5114,OUT027,1985,Tier 3,Supermarket Type3
1479,Low Fat,0.039725274,Snack Foods,228.2694,OUT027,1985,Tier 3,Supermarket Type3
1480,Low Fat,0.127707501,Canned,211.327,OUT045,2002,Tier 2,Supermarket Type1
1481,Regular,0.026573609,Canned,94.912,OUT045,2002,Tier 2,Supermarket Type1
1482,Low Fat,0.060237241,Starchy Foods,164.9526,OUT035,2004,Tier 2,Supermarket Type1
1483,Low Fat,0.091949401,Snack Foods,227.4352,OUT045,2002,Tier 2,Supermarket Type1
1484,Low Fat,0.015095622,Frozen Foods,82.325,OUT013,1987,Tier 3,Supermarket Type1
1485,Low Fat,0.048881014,Breads,63.7194,OUT045,2002,Tier 2,Supermarket Type1
1486,Regular,0.0,Breads,140.3838,OUT027,1985,Tier 3,Supermarket Type3
1487,Low Fat,0.065726925,Household,128.6678,OUT010,1998,Tier 3,Grocery Store
1488,Low Fat,0.025636945,Meat,89.1172,OUT027,1985,Tier 3,Supermarket Type3
1489,Regular,0.088502045,Fruits and Vegetables,116.2466,OUT049,1999,Tier 1,Supermarket Type1
1490,Low Fat,0.019073386,Snack Foods,237.7248,OUT045,2002,Tier 2,Supermarket Type1
1491,Regular,0.039200151,Baking Goods,207.5296,OUT018,2009,Tier 3,Supermarket Type2
1492,Low Fat,0.021344178,Hard Drinks,52.2298,OUT017,2007,Tier 2,Supermarket Type1
1493,Low Fat,0.030355463,Health and Hygiene,35.0874,OUT046,1997,Tier 1,Supermarket Type1
1494,Regular,0.07027007,Meat,43.9112,OUT010,1998,Tier 3,Grocery Store
1495,Low Fat,0.130733334,Fruits and Vegetables,188.3898,OUT017,2007,Tier 2,Supermarket Type1
1496,Regular,0.140584452,Baking Goods,52.3008,OUT035,2004,Tier 2,Supermarket Type1
1497,Regular,0.026597059,Meat,36.3532,OUT035,2004,Tier 2,Supermarket Type1
1498,Regular,0.014365128,Fruits and Vegetables,242.8512,OUT046,1997,Tier 1,Supermarket Type1
1499,Low Fat,0.033281349,Dairy,154.134,OUT045,2002,Tier 2,Supermarket Type1
1500,Low Fat,0.128309411,Soft Drinks,92.112,OUT019,1985,Tier 1,Grocery Store
1501,Low Fat,0.080619969,Snack Foods,119.144,OUT018,2009,Tier 3,Supermarket Type2
1502,Low Fat,0.181092301,Fruits and Vegetables,231.6642,OUT010,1998,Tier 3,Grocery Store
1503,Regular,0.015887996,Snack Foods,228.6352,OUT027,1985,Tier 3,Supermarket Type3
1504,Low Fat,0.005559688,Frozen Foods,121.2414,OUT045,2002,Tier 2,Supermarket Type1
1505,Regular,0.07686393,Starchy Foods,60.4904,OUT019,1985,Tier 1,Grocery Store
1506,Low Fat,0.015431545,Household,162.7526,OUT035,2004,Tier 2,Supermarket Type1
1507,Low Fat,0.183368339,Fruits and Vegetables,100.07,OUT035,2004,Tier 2,Supermarket Type1
1508,Low Fat,0.042751812,Health and Hygiene,164.5842,OUT046,1997,Tier 1,Supermarket Type1
1509,Low Fat,0.070141633,Dairy,214.985,OUT035,2004,Tier 2,Supermarket Type1
1510,Low Fat,0.162626685,Health and Hygiene,103.6674,OUT019,1985,Tier 1,Grocery Store
1511,Regular,0.100174939,Fruits and Vegetables,123.2388,OUT046,1997,Tier 1,Supermarket Type1
1512,Low Fat,0.015513314,Health and Hygiene,156.9604,OUT018,2009,Tier 3,Supermarket Type2
1513,Regular,0.046081489,Frozen Foods,38.0506,OUT035,2004,Tier 2,Supermarket Type1
1514,Low Fat,0.022456327,Meat,141.2812,OUT035,2004,Tier 2,Supermarket Type1
1515,Low Fat,0.044340045,Hard Drinks,173.908,OUT045,2002,Tier 2,Supermarket Type1
1516,Regular,0.224830093,Canned,40.248,OUT010,1998,Tier 3,Grocery Store
1517,Low Fat,0.083464455,Dairy,82.425,OUT010,1998,Tier 3,Grocery Store
1518,Regular,0.06337778,Frozen Foods,126.2046,OUT010,1998,Tier 3,Grocery Store
1519,Low Fat,0.057512493,Fruits and Vegetables,125.5046,OUT045,2002,Tier 2,Supermarket Type1
1520,Regular,0.025926223,Meat,99.9674,OUT046,1997,Tier 1,Supermarket Type1
1521,Regular,0.152573001,Soft Drinks,45.1086,OUT018,2009,Tier 3,Supermarket Type2
1522,Low Fat,0.122550245,Hard Drinks,176.1396,OUT013,1987,Tier 3,Supermarket Type1
1523,Low Fat,0.097885516,Soft Drinks,172.6738,OUT035,2004,Tier 2,Supermarket Type1
1524,Low Fat,0.08454227,Baking Goods,107.128,OUT027,1985,Tier 3,Supermarket Type3
1525,Regular,0.083694927,Frozen Foods,124.8362,OUT019,1985,Tier 1,Grocery Store
1526,Low Fat,0.124555719,Canned,90.3488,OUT018,2009,Tier 3,Supermarket Type2
1527,Low Fat,0.103473165,Canned,103.799,OUT046,1997,Tier 1,Supermarket Type1
1528,Low Fat,0.053372178,Soft Drinks,43.377,OUT046,1997,Tier 1,Supermarket Type1
1529,Low Fat,0.051945908,Household,141.547,OUT046,1997,Tier 1,Supermarket Type1
1530,Low Fat,0.029172707,Fruits and Vegetables,228.201,OUT010,1998,Tier 3,Grocery Store
1531,Regular,0.027953194,Snack Foods,229.4352,OUT019,1985,Tier 1,Grocery Store
1532,Low Fat,0.09060629,Others,195.0478,OUT049,1999,Tier 1,Supermarket Type1
1533,Low Fat,0.024430294,Household,42.6454,OUT018,2009,Tier 3,Supermarket Type2
1534,Regular,0.069695361,Meat,233.7616,OUT049,1999,Tier 1,Supermarket Type1
1535,Low Fat,0.02800432,Snack Foods,146.976,OUT045,2002,Tier 2,Supermarket Type1
1536,Regular,0.116651733,Baking Goods,162.421,OUT035,2004,Tier 2,Supermarket Type1
1537,Low Fat,0.076364306,Dairy,63.0536,OUT027,1985,Tier 3,Supermarket Type3
1538,Regular,0.03258625,Frozen Foods,145.6102,OUT018,2009,Tier 3,Supermarket Type2
1539,Regular,0.144631478,Snack Foods,100.6332,OUT046,1997,Tier 1,Supermarket Type1
1540,Regular,0.113564473,Dairy,92.6436,OUT027,1985,Tier 3,Supermarket Type3
1541,Regular,0.010940934,Meat,110.4544,OUT045,2002,Tier 2,Supermarket Type1
1542,Regular,0.134597662,Snack Foods,44.7402,OUT013,1987,Tier 3,Supermarket Type1
1543,Low Fat,0.114329308,Frozen Foods,59.4246,OUT027,1985,Tier 3,Supermarket Type3
1544,Low Fat,0.036268455,Fruits and Vegetables,122.5046,OUT019,1985,Tier 1,Grocery Store
